180302-05:00:47 login login successful 
180302-06:25:50 direct_request ori:(u'::1', 31134), dest:(u'31.13.80.12', 443) 
180302-06:25:50 direct_request ori:(u'::1', 12473), dest:(u'31.13.80.12', 443) 
180302-06:25:52 direct_request ori:(u'::1', 35539), dest:(u'31.13.71.7', 443) 
180302-06:25:54 direct_request ori:(u'::1', 40279), dest:(u'31.13.80.36', 443) 
180302-06:25:54 direct_request ori:(u'::1', 49115), dest:(u'31.13.80.12', 443) 
180302-06:25:55 direct_request ori:(u'::1', 48597), dest:(u'31.13.80.12', 443) 
180302-06:25:55 direct_request ori:(u'::1', 26195), dest:(u'31.13.80.12', 443) 
180302-06:25:55 direct_request ori:(u'::1', 38070), dest:(u'31.13.80.12', 443) 
180302-06:25:56 direct_request ori:(u'::1', 44058), dest:(u'172.217.7.130', 443) 
180302-06:25:56 direct_request ori:(u'::1', 40336), dest:(u'31.13.80.2', 443) 
180302-06:25:57 direct_request ori:(u'::1', 23709), dest:(u'172.217.5.228', 443) 
180302-06:25:58 direct_request ori:(u'::1', 43397), dest:(u'31.13.80.8', 443) 
180302-06:25:58 direct_request ori:(u'::1', 13317), dest:(u'31.13.80.8', 443) 
180302-06:26:09 direct_request ori:(u'::1', 40348), dest:(u'31.13.80.36', 443) 
180302-06:26:12 direct_request ori:(u'::1', 11756), dest:(u'31.13.80.12', 443) 
180302-06:26:12 direct_request ori:(u'::1', 33208), dest:(u'31.13.80.12', 443) 
180302-06:26:14 direct_request ori:(u'::1', 16064), dest:(u'31.13.80.12', 443) 
180302-06:26:17 direct_request ori:(u'::1', 32326), dest:(u'31.13.80.36', 443) 
180302-06:26:20 direct_request ori:(u'::1', 22215), dest:(u'31.13.71.7', 443) 
180302-06:26:20 direct_request ori:(u'::1', 45236), dest:(u'31.13.71.7', 443) 
180302-06:26:20 direct_request ori:(u'::1', 48617), dest:(u'31.13.71.7', 443) 
180302-06:26:20 direct_request ori:(u'::1', 39765), dest:(u'31.13.71.7', 443) 
180302-06:26:20 direct_request ori:(u'::1', 18003), dest:(u'31.13.71.7', 443) 
180302-06:26:20 direct_request ori:(u'::1', 35276), dest:(u'31.13.80.12', 443) 
180302-06:26:20 direct_request ori:(u'::1', 37915), dest:(u'31.13.71.7', 443) 
180302-06:26:20 direct_request ori:(u'::1', 17984), dest:(u'31.13.71.7', 443) 
180302-06:26:21 direct_request ori:(u'::1', 19483), dest:(u'31.13.80.12', 443) 
180302-06:26:21 direct_request ori:(u'::1', 14087), dest:(u'31.13.80.12', 443) 
180302-06:26:21 direct_request ori:(u'::1', 37195), dest:(u'31.13.80.12', 443) 
180302-06:26:21 direct_request ori:(u'::1', 17646), dest:(u'31.13.80.12', 443) 
180302-06:26:21 direct_request ori:(u'::1', 21001), dest:(u'31.13.80.12', 443) 
180302-06:26:21 direct_request ori:(u'::1', 12995), dest:(u'31.13.80.12', 443) 
180302-06:26:21 direct_request ori:(u'::1', 16762), dest:(u'31.13.71.7', 443) 
180302-06:26:21 direct_request ori:(u'::1', 24700), dest:(u'31.13.71.7', 443) 
180302-06:26:21 direct_request ori:(u'::1', 20401), dest:(u'31.13.71.7', 443) 
180302-06:26:21 direct_request ori:(u'::1', 25750), dest:(u'31.13.71.7', 443) 
180302-06:26:22 direct_request ori:(u'::1', 42344), dest:(u'31.13.71.7', 443) 
180302-06:26:22 direct_request ori:(u'::1', 45472), dest:(u'31.13.80.12', 443) 
180302-06:26:22 direct_request ori:(u'::1', 33017), dest:(u'31.13.80.12', 443) 
180302-06:26:22 direct_request ori:(u'::1', 17054), dest:(u'31.13.80.12', 443) 
180302-06:26:22 direct_request ori:(u'::1', 28923), dest:(u'31.13.80.12', 443) 
180302-06:26:22 direct_request ori:(u'::1', 45379), dest:(u'31.13.80.12', 443) 
180302-06:26:22 direct_request ori:(u'::1', 16102), dest:(u'31.13.80.12', 443) 
